"","No","Date","Flow","SpC","Lat","Long","Drain"
"1","01564997",1993-06-01,50,,40.66173647,-77.5999947,57.4
"2","01564997",1993-06-02,55,,40.66173647,-77.5999947,57.4
"3","01564997",1993-06-03,52,,40.66173647,-77.5999947,57.4
"4","01564997",1993-06-04,55,,40.66173647,-77.5999947,57.4
"5","01564997",1993-06-05,50,,40.66173647,-77.5999947,57.4
"6","01564997",1993-06-06,47,,40.66173647,-77.5999947,57.4
"7","01564997",1993-06-07,45,,40.66173647,-77.5999947,57.4
"8","01564997",1993-06-08,70,,40.66173647,-77.5999947,57.4
"9","01564997",1993-06-09,58,,40.66173647,-77.5999947,57.4
"10","01564997",1993-06-10,48,,40.66173647,-77.5999947,57.4
"11","01564997",1993-06-11,44,,40.66173647,-77.5999947,57.4
"12","01564997",1993-06-12,41,,40.66173647,-77.5999947,57.4
"13","01564997",1993-06-13,39,,40.66173647,-77.5999947,57.4
"14","01564997",1993-06-14,38,,40.66173647,-77.5999947,57.4
"15","01564997",1993-06-15,37,,40.66173647,-77.5999947,57.4
"16","01564997",1993-06-16,36,,40.66173647,-77.5999947,57.4
"17","01564997",1993-06-17,35,,40.66173647,-77.5999947,57.4
"18","01564997",1993-06-18,34,,40.66173647,-77.5999947,57.4
"19","01564997",1993-06-19,33,,40.66173647,-77.5999947,57.4
"20","01564997",1993-06-20,37,,40.66173647,-77.5999947,57.4
"21","01564997",1993-06-21,37,,40.66173647,-77.5999947,57.4
"22","01564997",1993-06-22,35,,40.66173647,-77.5999947,57.4
"23","01564997",1993-06-23,31,,40.66173647,-77.5999947,57.4
"24","01564997",1993-06-24,30,,40.66173647,-77.5999947,57.4
"25","01564997",1993-06-25,29,,40.66173647,-77.5999947,57.4
"26","01564997",1993-06-26,28,,40.66173647,-77.5999947,57.4
"27","01564997",1993-06-27,28,,40.66173647,-77.5999947,57.4
"28","01564997",1993-06-28,27,,40.66173647,-77.5999947,57.4
"29","01564997",1993-06-29,27,,40.66173647,-77.5999947,57.4
"30","01564997",1993-06-30,26,,40.66173647,-77.5999947,57.4
"31","01564997",1993-07-01,26,,40.66173647,-77.5999947,57.4
"32","01564997",1993-07-02,34,,40.66173647,-77.5999947,57.4
"33","01564997",1993-07-03,32,,40.66173647,-77.5999947,57.4
"34","01564997",1993-07-04,27,,40.66173647,-77.5999947,57.4
"35","01564997",1993-07-05,26,,40.66173647,-77.5999947,57.4
"36","01564997",1993-07-06,25,,40.66173647,-77.5999947,57.4
"37","01564997",1993-07-07,25,,40.66173647,-77.5999947,57.4
"38","01564997",1993-07-08,27,,40.66173647,-77.5999947,57.4
"39","01564997",1993-07-09,23,,40.66173647,-77.5999947,57.4
"40","01564997",1993-07-10,22,,40.66173647,-77.5999947,57.4
"41","01564997",1993-07-11,22,,40.66173647,-77.5999947,57.4
"42","01564997",1993-07-12,23,,40.66173647,-77.5999947,57.4
"43","01564997",1993-07-13,22,,40.66173647,-77.5999947,57.4
"44","01564997",1993-07-14,20,,40.66173647,-77.5999947,57.4
"45","01564997",1993-07-15,20,,40.66173647,-77.5999947,57.4
"46","01564997",1993-07-16,19,,40.66173647,-77.5999947,57.4
"47","01564997",1993-07-17,18,,40.66173647,-77.5999947,57.4
"48","01564997",1993-07-18,18,,40.66173647,-77.5999947,57.4
"49","01564997",1993-07-19,19,,40.66173647,-77.5999947,57.4
"50","01564997",1993-07-20,20,,40.66173647,-77.5999947,57.4
"51","01564997",1993-07-21,18,,40.66173647,-77.5999947,57.4
"52","01564997",1993-07-22,17,,40.66173647,-77.5999947,57.4
"53","01564997",1993-07-23,17,,40.66173647,-77.5999947,57.4
"54","01564997",1993-07-24,16,,40.66173647,-77.5999947,57.4
"55","01564997",1993-07-25,16,,40.66173647,-77.5999947,57.4
"56","01564997",1993-07-26,17,,40.66173647,-77.5999947,57.4
"57","01564997",1993-07-27,17,,40.66173647,-77.5999947,57.4
"58","01564997",1993-07-28,16,,40.66173647,-77.5999947,57.4
