"","No","Date","Flow","SpC"
"1","02040000",1950-01-01,465,NA
"2","02040000",1950-01-02,455,NA
"3","02040000",1950-01-03,455,NA
"4","02040000",1950-01-04,455,NA
"5","02040000",1950-01-05,465,NA
"6","02040000",1950-01-06,465,NA
"7","02040000",1950-01-07,455,NA
"8","02040000",1950-01-08,435,NA
"9","02040000",1950-01-09,415,NA
"10","02040000",1950-01-10,406,NA
"11","02040000",1950-01-11,415,NA
"12","02040000",1950-01-12,425,NA
"13","02040000",1950-01-13,539,NA
"14","02040000",1950-01-14,597,NA
"15","02040000",1950-01-15,573,NA
"16","02040000",1950-01-16,517,NA
"17","02040000",1950-01-17,485,NA
"18","02040000",1950-01-18,475,NA
"19","02040000",1950-01-19,506,NA
"20","02040000",1950-01-20,633,NA
"21","02040000",1950-01-21,710,NA
"22","02040000",1950-01-22,633,NA
"23","02040000",1950-01-23,561,NA
"24","02040000",1950-01-24,528,NA
"25","02040000",1950-01-25,506,NA
"26","02040000",1950-01-26,495,NA
"27","02040000",1950-01-27,495,NA
"28","02040000",1950-01-28,517,NA
"29","02040000",1950-01-29,539,NA
"30","02040000",1950-01-30,561,NA
"31","02040000",1950-01-31,1530,NA
"32","02040000",1950-02-01,2490,NA
"33","02040000",1950-02-02,2690,NA
"34","02040000",1950-02-03,2320,NA
"35","02040000",1950-02-04,1290,NA
"36","02040000",1950-02-05,922,NA
"37","02040000",1950-02-06,788,NA
"38","02040000",1950-02-07,788,NA
"39","02040000",1950-02-08,762,NA
"40","02040000",1950-02-09,710,NA
"41","02040000",1950-02-10,814,NA
"42","02040000",1950-02-11,1150,NA
"43","02040000",1950-02-12,1120,NA
"44","02040000",1950-02-13,895,NA
"45","02040000",1950-02-14,800,NA
"46","02040000",1950-02-15,850,NA
"47","02040000",1950-02-16,800,NA
"48","02040000",1950-02-17,700,NA
"49","02040000",1950-02-18,620,NA
"50","02040000",1950-02-19,600,NA
"51","02040000",1950-02-20,560,NA
"52","02040000",1950-02-21,540,NA
"53","02040000",1950-02-22,560,NA
"54","02040000",1950-02-23,750,NA
"55","02040000",1950-02-24,684,NA
"56","02040000",1950-02-25,658,NA
"57","02040000",1950-02-26,600,NA
"58","02040000",1950-02-27,580,NA
"59","02040000",1950-02-28,561,NA
"60","02040000",1950-03-01,561,NA
"61","02040000",1950-03-02,539,NA
"62","02040000",1950-03-03,495,NA
"63","02040000",1950-03-04,455,NA
"64","02040000",1950-03-05,445,NA
"65","02040000",1950-03-06,445,NA
"66","02040000",1950-03-07,445,NA
"67","02040000",1950-03-08,455,NA
"68","02040000",1950-03-09,485,NA
"69","02040000",1950-03-10,506,NA
"70","02040000",1950-03-11,465,NA
"71","02040000",1950-03-12,445,NA
"72","02040000",1950-03-13,506,NA
"73","02040000",1950-03-14,762,NA
"74","02040000",1950-03-15,1030,NA
"75","02040000",1950-03-16,762,NA
"76","02040000",1950-03-17,684,NA
"77","02040000",1950-03-18,868,NA
"78","02040000",1950-03-19,1060,NA
"79","02040000",1950-03-20,814,NA
"80","02040000",1950-03-21,1320,NA
"81","02040000",1950-03-22,1840,NA
"82","02040000",1950-03-23,3190,NA
"83","02040000",1950-03-24,3150,NA
"84","02040000",1950-03-25,3260,NA
"85","02040000",1950-03-26,3190,NA
"86","02040000",1950-03-27,1210,NA
"87","02040000",1950-03-28,922,NA
"88","02040000",1950-03-29,841,NA
"89","02040000",1950-03-30,788,NA
"90","02040000",1950-03-31,736,NA
"91","02040000",1950-04-01,658,NA
"92","02040000",1950-04-02,609,NA
"93","02040000",1950-04-03,597,NA
"94","02040000",1950-04-04,573,NA
"95","02040000",1950-04-05,550,NA
"96","02040000",1950-04-06,539,NA
"97","02040000",1950-04-07,528,NA
"98","02040000",1950-04-08,485,NA
"99","02040000",1950-04-09,465,NA
"100","02040000",1950-04-10,455,NA
"101","02040000",1950-04-11,445,NA
"102","02040000",1950-04-12,445,NA
"103","02040000",1950-04-13,435,NA
"104","02040000",1950-04-14,425,NA
"105","02040000",1950-04-15,415,NA
"106","02040000",1950-04-16,397,NA
"107","02040000",1950-04-17,397,NA
"108","02040000",1950-04-18,397,NA
"109","02040000",1950-04-19,388,NA
"110","02040000",1950-04-20,406,NA
"111","02040000",1950-04-21,475,NA
"112","02040000",1950-04-22,506,NA
"113","02040000",1950-04-23,465,NA
"114","02040000",1950-04-24,415,NA
"115","02040000",1950-04-25,406,NA
"116","02040000",1950-04-26,397,NA
"117","02040000",1950-04-27,379,NA
"118","02040000",1950-04-28,379,NA
"119","02040000",1950-04-29,379,NA
"120","02040000",1950-04-30,397,NA
"121","02040000",1950-05-01,517,NA
"122","02040000",1950-05-02,684,NA
"123","02040000",1950-05-03,1030,NA
"124","02040000",1950-05-04,1650,NA
"125","02040000",1950-05-05,1440,NA
"126","02040000",1950-05-06,868,NA
"127","02040000",1950-05-07,710,NA
"128","02040000",1950-05-08,736,NA
