"","Date","Flow","SpC"
"1",1950-01-01,230,NA
"2",1950-01-02,220,NA
"3",1950-01-03,220,NA
"4",1950-01-04,210,NA
"5",1950-01-05,210,NA
"6",1950-01-06,200,NA
"7",1950-01-07,200,NA
"8",1950-01-08,200,NA
"9",1950-01-09,200,NA
"10",1950-01-10,207,NA
"11",1950-01-11,215,NA
"12",1950-01-12,231,NA
"13",1950-01-13,256,NA
"14",1950-01-14,409,NA
"15",1950-01-15,322,NA
"16",1950-01-16,265,NA
"17",1950-01-17,248,NA
"18",1950-01-18,265,NA
"19",1950-01-19,343,NA
"20",1950-01-20,873,NA
"21",1950-01-21,669,NA
"22",1950-01-22,432,NA
"23",1950-01-23,364,NA
"24",1950-01-24,332,NA
"25",1950-01-25,302,NA
"26",1950-01-26,283,NA
"27",1950-01-27,283,NA
"28",1950-01-28,312,NA
"29",1950-01-29,354,NA
"30",1950-01-30,343,NA
"31",1950-01-31,1340,NA
"32",1950-02-01,1170,NA
"33",1950-02-02,719,NA
"34",1950-02-03,608,NA
"35",1950-02-04,501,NA
"36",1950-02-05,409,NA
"37",1950-02-06,364,NA
"38",1950-02-07,354,NA
"39",1950-02-08,343,NA
"40",1950-02-09,322,NA
"41",1950-02-10,322,NA
"42",1950-02-11,409,NA
"43",1950-02-12,432,NA
"44",1950-02-13,375,NA
"45",1950-02-14,354,NA
"46",1950-02-15,409,NA
"47",1950-02-16,478,NA
"48",1950-02-17,386,NA
"49",1950-02-18,332,NA
"50",1950-02-19,302,NA
"51",1950-02-20,292,NA
"52",1950-02-21,274,NA
"53",1950-02-22,265,NA
"54",1950-02-23,354,NA
"55",1950-02-24,744,NA
"56",1950-02-25,501,NA
"57",1950-02-26,386,NA
"58",1950-02-27,354,NA
"59",1950-02-28,343,NA
"60",1950-03-01,322,NA
"61",1950-03-02,312,NA
"62",1950-03-03,283,NA
"63",1950-03-04,265,NA
"64",1950-03-05,256,NA
"65",1950-03-06,265,NA
"66",1950-03-07,256,NA
"67",1950-03-08,265,NA
"68",1950-03-09,274,NA
