datetime,166686_00060,datetime
12/28/2016,11.8,10:15
12/28/2016,11.8,10:30
12/28/2016,11.8,10:45
12/28/2016,11.8,11:00
12/28/2016,11.8,11:15
12/28/2016,11.8,11:30
12/28/2016,11.8,11:45
12/28/2016,11.8,12:00
12/28/2016,11.8,12:15
12/28/2016,11.8,12:30
12/28/2016,11.8,12:45
12/28/2016,11.8,13:00
12/28/2016,11.8,13:15
12/28/2016,11.8,13:30
12/28/2016,11.8,13:45
12/28/2016,11.8,14:00
12/28/2016,11.8,14:15
12/28/2016,11.8,14:30
12/28/2016,11.8,14:45
12/28/2016,11.8,15:00
12/28/2016,11.8,15:15
12/28/2016,11.8,15:30
12/28/2016,11.8,15:45
12/28/2016,11.8,16:00
12/28/2016,11.8,16:15
12/28/2016,11.8,16:30
12/28/2016,11.8,16:45
12/28/2016,11.8,17:00
12/28/2016,11.8,17:15
12/28/2016,11.6,17:30
12/28/2016,11.6,17:45
12/28/2016,11.6,18:00
12/28/2016,11.6,18:15
12/28/2016,11.6,18:30
12/28/2016,11.6,18:45
12/28/2016,11.6,19:00
12/28/2016,11.6,19:15
12/28/2016,11.6,19:30
12/28/2016,11.6,19:45
12/28/2016,11.6,20:00
12/28/2016,11.6,20:15
12/28/2016,11.6,20:30
12/28/2016,11.6,20:45
12/28/2016,11.6,21:00
12/28/2016,11.6,21:15
12/28/2016,11.6,21:30
12/28/2016,11.6,21:45
12/28/2016,11.6,22:00
12/28/2016,11.6,22:15
12/28/2016,11.6,22:30
12/28/2016,11.6,22:45
12/28/2016,11.6,23:00
12/28/2016,11.6,23:15
12/28/2016,11.6,23:30
12/28/2016,11.6,23:45
12/29/2016,11.4,0:00
12/29/2016,11.4,0:15
12/29/2016,11.4,0:30
12/29/2016,11.4,0:45
12/29/2016,11.4,1:00
12/29/2016,11.4,1:15
12/29/2016,11.4,1:30
12/29/2016,11.4,1:45
12/29/2016,11.4,2:00
12/29/2016,11.6,2:15
12/29/2016,11.4,2:30
12/29/2016,11.4,2:45
12/29/2016,11.4,3:00
12/29/2016,11.4,3:15
12/29/2016,11.4,3:30
12/29/2016,11.4,3:45
12/29/2016,11.4,4:00
12/29/2016,11.4,4:15
12/29/2016,11.4,4:30
12/29/2016,11.4,4:45
12/29/2016,11.4,5:00
12/29/2016,11.4,5:15
12/29/2016,11.4,5:30
12/29/2016,11.4,5:45
12/29/2016,11.4,6:00
12/29/2016,11.4,6:15
12/29/2016,11.4,6:30
12/29/2016,11.4,6:45
12/29/2016,11.6,7:00
12/29/2016,11.6,7:15
12/29/2016,11.6,7:30
12/29/2016,11.6,7:45
12/29/2016,11.6,8:00
12/29/2016,11.6,8:15
12/29/2016,11.8,8:30
12/29/2016,11.8,8:45
12/29/2016,11.8,9:00
12/29/2016,11.8,9:15
12/29/2016,11.8,9:30
12/29/2016,12,9:45
12/29/2016,12,10:00
12/29/2016,12,10:15
12/29/2016,12.3,10:30
12/29/2016,12.3,10:45
12/29/2016,12.3,11:00
12/29/2016,12.3,11:15
12/29/2016,12.3,11:30
12/29/2016,12.5,11:45
12/29/2016,12.5,12:00
12/29/2016,12.5,12:15
12/29/2016,12.5,12:30
12/29/2016,12.5,12:45
12/29/2016,12.5,13:00
12/29/2016,12.7,13:15
12/29/2016,12.7,13:30
12/29/2016,12.7,13:45
12/29/2016,12.7,14:00
12/29/2016,12.7,14:15
12/29/2016,12.7,14:30
12/29/2016,13,14:45
12/29/2016,13,15:00
12/29/2016,13,15:15
12/29/2016,13,15:30
12/29/2016,13,15:45
12/29/2016,13,16:00
12/29/2016,13,16:15
12/29/2016,13,16:30
12/29/2016,13,16:45
12/29/2016,13,17:00
12/29/2016,13,17:15
12/29/2016,13,17:30
12/29/2016,13,17:45
12/29/2016,13.2,18:00
12/29/2016,13.2,18:15
12/29/2016,13.2,18:30
12/29/2016,13.2,18:45
12/29/2016,13.2,19:00
12/29/2016,13.2,19:15
12/29/2016,13,19:30
12/29/2016,13.2,19:45
12/29/2016,13,20:00
12/29/2016,13,20:15
12/29/2016,13,20:30
12/29/2016,13,20:45
12/29/2016,13,21:00
12/29/2016,13,21:15
12/29/2016,13,21:30
12/29/2016,13,21:45
12/29/2016,13,22:00
12/29/2016,13,22:15
12/29/2016,13,22:30
12/29/2016,13,22:45
12/29/2016,13,23:00
12/29/2016,13,23:15
12/29/2016,13,23:30
12/29/2016,12.7,23:45
12/30/2016,12.7,0:00
12/30/2016,12.7,0:15
12/30/2016,12.7,0:30
12/30/2016,12.7,0:45
12/30/2016,12.7,1:00
12/30/2016,12.7,1:15
12/30/2016,12.7,1:30
12/30/2016,12.7,1:45
12/30/2016,12.7,2:00
12/30/2016,12.7,2:15
12/30/2016,12.7,2:30
12/30/2016,12.7,2:45
12/30/2016,12.5,3:00
12/30/2016,12.5,3:15
12/30/2016,12.5,3:30
12/30/2016,12.5,3:45
12/30/2016,12.5,4:00
12/30/2016,12.5,4:15
12/30/2016,12.5,4:30
12/30/2016,12.5,4:45
12/30/2016,12.5,5:00
12/30/2016,12.3,5:15
12/30/2016,12.3,5:30
12/30/2016,12.3,5:45
12/30/2016,12.3,6:00
12/30/2016,12.3,6:15
12/30/2016,12.3,6:30
12/30/2016,12.3,6:45
12/30/2016,12.3,7:00
12/30/2016,12.3,7:15
12/30/2016,12.3,7:30
12/30/2016,12.3,7:45
12/30/2016,12.3,8:00
12/30/2016,12,8:15
12/30/2016,12,8:30
12/30/2016,12.3,8:45
12/30/2016,12,9:00
12/30/2016,12,9:15
12/30/2016,12,9:30
12/30/2016,12,9:45
12/30/2016,12,10:00
12/30/2016,12,10:15
12/30/2016,12,10:30
12/30/2016,12,10:45
12/30/2016,12,11:00
12/30/2016,12,11:15
12/30/2016,12,11:30
12/30/2016,12,11:45
12/30/2016,12,12:00
12/30/2016,12,12:15
12/30/2016,12,12:30
12/30/2016,12,12:45
12/30/2016,12,13:00
12/30/2016,12,13:15
12/30/2016,12,13:30
12/30/2016,12,13:45
12/30/2016,12,14:00
12/30/2016,12,14:15
12/30/2016,12,14:30
12/30/2016,12,14:45
12/30/2016,12,15:00
12/30/2016,12,15:15
12/30/2016,12,15:30
12/30/2016,12,15:45
12/30/2016,12,16:00
12/30/2016,11.8,16:15
12/30/2016,11.8,16:30
12/30/2016,11.8,16:45
12/30/2016,11.8,17:00
12/30/2016,11.8,17:15
12/30/2016,11.8,17:30
12/30/2016,11.8,17:45
12/30/2016,11.8,18:00
12/30/2016,11.8,18:15
12/30/2016,11.8,18:30
12/30/2016,11.8,18:45
12/30/2016,11.8,19:00
12/30/2016,11.8,19:15
12/30/2016,11.8,19:30
12/30/2016,11.8,19:45
12/30/2016,11.8,20:00
12/30/2016,11.8,20:15
12/30/2016,11.6,20:30
12/30/2016,11.6,20:45
12/30/2016,11.6,21:00
12/30/2016,11.6,21:15
12/30/2016,11.6,21:30
12/30/2016,11.6,21:45
12/30/2016,11.6,22:00
12/30/2016,11.6,22:15
12/30/2016,11.6,22:30
12/30/2016,11.6,22:45
12/30/2016,11.6,23:00
12/30/2016,11.6,23:15
12/30/2016,11.6,23:30
12/30/2016,11.6,23:45
12/31/2016,11.6,0:00
12/31/2016,11.6,0:15
12/31/2016,11.6,0:30
12/31/2016,11.6,0:45
12/31/2016,11.6,1:00
12/31/2016,11.6,1:15
12/31/2016,11.6,1:30
12/31/2016,11.6,1:45
12/31/2016,11.6,2:00
12/31/2016,11.6,2:15
12/31/2016,11.4,2:30
12/31/2016,11.4,2:45
12/31/2016,11.4,3:00
12/31/2016,11.4,3:15
12/31/2016,11.4,3:30
12/31/2016,11.4,3:45
12/31/2016,11.4,4:00
12/31/2016,11.4,4:15
12/31/2016,11.4,4:30
12/31/2016,11.4,4:45
