     Day,      Date,Flow,Direct Runoff,Base Flow,
1,10/1/1958,7,7,0,
2,10/2/1958,6.2,5.74,0.46,
3,10/3/1958,5.4,4.58,0.82,
4,10/4/1958,5.6,4.44,1.16,
5,10/5/1958,5.4,3.95,1.45,
6,10/6/1958,5.1,3.41,1.69,
7,10/7/1958,5.1,3.19,1.91,
8,10/8/1958,5.1,2.99,2.11,
9,10/9/1958,5.1,2.8,2.3,
10,10/10/1958,5.1,2.64,2.46,
11,10/11/1958,4.4,1.84,2.56,
12,10/12/1958,4.4,1.75,2.65,
13,10/13/1958,4.4,1.67,2.73,
14,10/14/1958,4.2,1.41,2.79,
15,10/15/1958,4.2,1.36,2.84,
16,10/16/1958,4,1.13,2.87,
17,10/17/1958,4,1.1,2.9,
18,10/18/1958,4,1.07,2.93,
19,10/19/1958,4,1.04,2.96,
20,10/20/1958,3.9,0.93,2.97,
21,10/21/1958,3.9,0.91,2.99,
22,10/22/1958,4.9,1.83,3.07,
23,10/23/1958,5.8,2.58,3.22,
24,10/24/1958,4.8,1.53,3.27,
25,10/25/1958,4.6,1.29,3.31,
26,10/26/1958,4.6,1.25,3.35,
27,10/27/1958,4.2,0.85,3.35,
28,10/28/1958,4.2,0.85,3.35,
29,10/29/1958,4,0.67,3.33,
30,10/30/1958,4,0.68,3.32,
31,10/31/1958,3.9,0.6,3.3,
32,11/1/1958,3.9,0.61,3.29,
33,11/2/1958,4.4,1.09,3.31,
34,11/3/1958,5.1,1.72,3.38,
35,11/4/1958,4.2,0.82,3.38,
36,11/5/1958,4,0.64,3.36,
37,11/6/1958,3.9,0.56,3.34,
38,11/7/1958,3.9,0.58,3.32,
39,11/8/1958,3.7,0.41,3.29,
40,11/9/1958,3.7,0.44,3.26,
41,11/10/1958,3.6,0.38,3.22,
42,11/11/1958,3.6,0.41,3.19,
43,11/12/1958,3.4,0.25,3.15,
44,11/13/1958,3.4,0.29,3.11,
45,11/14/1958,3.4,0.33,3.07,
46,11/15/1958,3.4,0.36,3.04,
47,11/16/1958,3.4,0.39,3.01,
48,11/17/1958,3.2,0.23,2.97,
49,11/18/1958,3.2,0.27,2.93,
50,11/19/1958,3.2,0.3,2.9,
51,11/20/1958,3.1,0.24,2.86,
52,11/21/1958,3,0.19,2.81,
53,11/22/1958,3,0.22,2.78,
54,11/23/1958,3,0.26,2.74,
55,11/24/1958,3,0.29,2.71,
56,11/25/1958,3,0.32,2.68,
57,11/26/1958,3,0.35,2.65,
58,11/27/1958,2.8,0.18,2.62,
59,11/28/1958,3,0.4,2.6,
60,11/29/1958,4.2,1.53,2.67,
61,11/30/1958,3.1,0.45,2.65,
62,12/1/1958,3,0.37,2.63,
63,12/2/1958,3,0.39,2.61,
64,12/3/1958,3,0.41,2.59,
65,12/4/1958,3.6,0.99,2.61,
66,12/5/1958,3.1,0.5,2.6,
67,12/6/1958,3,0.42,2.58,
68,12/7/1958,3,0.43,2.57,
69,12/8/1958,3,0.45,2.55,
70,12/9/1958,3,0.46,2.54,
71,12/10/1958,2.8,0.29,2.51,
72,12/11/1958,2.8,0.32,2.48,
73,12/12/1958,2.8,0.34,2.46,
74,12/13/1958,2.6,0.17,2.43,
75,12/14/1958,2.6,0.21,2.39,
76,12/15/1958,2.6,0.23,2.37,
77,12/16/1958,2.6,0.26,2.34,
78,12/17/1958,2.5,0.19,2.31,
79,12/18/1958,2.5,0.22,2.28,
80,12/19/1958,2.5,0.25,2.25,
81,12/20/1958,2.5,0.27,2.23,
82,12/21/1958,2.4,0.2,2.2,
83,12/22/1958,2.4,0.23,2.17,
84,12/23/1958,2.6,0.43,2.17,
85,12/24/1958,2.8,0.63,2.17,
86,12/25/1958,3,0.81,2.19,
87,12/26/1958,2.8,0.6,2.2,
88,12/27/1958,2.6,0.41,2.19,
89,12/28/1958,2.6,0.42,2.18,
90,12/29/1958,6.4,3.95,2.45,
91,12/30/1958,6,3.33,2.67,
92,12/31/1958,4.2,1.47,2.73,
93,1/1/1959,4.2,1.41,2.79,
94,1/2/1959,7.2,4.14,3.06,
95,1/3/1959,4.9,1.76,3.14,
96,1/4/1959,4.8,1.59,3.21,
97,1/5/1959,4.2,0.98,3.22,
98,1/6/1959,4,0.78,3.22,
99,1/7/1959,4,0.78,3.22,
100,1/8/1959,4.2,0.97,3.23,
101,1/9/1959,4.4,1.14,3.26,
102,1/10/1959,4,0.75,3.25,
103,1/11/1959,4,0.75,3.25,
104,1/12/1959,4.2,0.94,3.26,
105,1/13/1959,4.4,1.12,3.28,
106,1/14/1959,4.4,1.1,3.3,
107,1/15/1959,4.4,1.08,3.32,
108,1/16/1959,4.9,1.52,3.38,
109,1/17/1959,4.6,1.19,3.41,
110,1/18/1959,4.4,0.98,3.42,
111,1/19/1959,4.4,0.97,3.43,
112,1/20/1959,4.6,1.15,3.45,
113,1/21/1959,4.6,1.13,3.47,
114,1/22/1959,4.8,1.29,3.51,
115,1/23/1959,4.4,0.89,3.51,
116,1/24/1959,4.2,0.71,3.49,
117,1/25/1959,4.4,0.9,3.5,
118,1/26/1959,4.2,0.72,3.48,
119,1/27/1959,4.2,0.73,3.47,
120,1/28/1959,4.2,0.74,3.46,
121,1/29/1959,4,0.56,3.44,
122,1/30/1959,4.6,1.14,3.46,
123,1/31/1959,4.2,0.75,3.45,
124,2/1/1959,4,0.57,3.43,
125,2/2/1959,4,0.59,3.41,
126,2/3/1959,4,0.61,3.39,
127,2/4/1959,4.4,1,3.4,
128,2/5/1959,5.1,1.64,3.46,
129,2/6/1959,4.4,0.93,3.47,
130,2/7/1959,4.4,0.93,3.47,
131,2/8/1959,4.2,0.74,3.46,
132,2/9/1959,4.2,0.75,3.45,
133,2/10/1959,4.4,0.94,3.46,
134,2/11/1959,4.4,0.94,3.46,
135,2/12/1959,4,0.56,3.44,
136,2/13/1959,4.8,1.32,3.48,
137,2/14/1959,4.8,1.29,3.51,
138,2/15/1959,4.9,1.35,3.55,
139,2/16/1959,4.6,1.04,3.56,
140,2/17/1959,4.6,1.03,3.57,
141,2/18/1959,4.6,1.02,3.58,
142,2/19/1959,4.2,0.64,3.56,
143,2/20/1959,4.2,0.66,3.54,
144,2/21/1959,4.2,0.67,3.53,
145,2/22/1959,4.2,0.69,3.51,
146,2/23/1959,4.2,0.7,3.5,
147,2/24/1959,4.2,0.72,3.48,
148,2/25/1959,4,0.54,3.46,
149,2/26/1959,4,0.57,3.43,
150,2/27/1959,4,0.59,3.41,
151,2/28/1959,4,0.61,3.39,
152,3/1/1959,3.9,0.53,3.37,
153,3/2/1959,3.9,0.56,3.34,
154,3/3/1959,3.9,0.58,3.32,
155,3/4/1959,3.9,0.6,3.3,
